22-02-23 21:15:16 INFO  be.effectlife.arvbotplus.Main:142 - -------------------
22-02-23 21:15:16 INFO  be.effectlife.arvbotplus.Main:143 - Starting ArvBotPlus
22-02-23 21:15:16 INFO  b.e.a.loading.StageBuilder:56  - Building Stage POLL
22-02-23 21:15:16 INFO  b.e.a.loading.AESceneLoader:96  - Initializing s_poll
22-02-23 21:15:16 INFO  b.e.a.loading.AESceneLoader:96  - Initializing widgets/w_quickPoll
22-02-23 21:15:16 INFO  b.e.a.loading.AESceneLoader:96  - Initializing widgets/w_poll_0
22-02-23 21:15:16 INFO  b.e.a.loading.AESceneLoader:96  - Initializing widgets/w_poll_1
22-02-23 21:15:16 INFO  b.e.a.loading.AESceneLoader:96  - Initializing widgets/w_poll_2
22-02-23 21:15:16 INFO  b.e.a.loading.AESceneLoader:96  - Initializing widgets/w_poll_3
22-02-23 21:15:16 INFO  b.e.a.loading.AESceneLoader:96  - Initializing widgets/w_poll_4
22-02-23 21:15:16 INFO  b.e.a.loading.AESceneLoader:96  - Initializing widgets/w_poll_5
22-02-23 21:15:16 INFO  b.e.a.loading.AESceneLoader:96  - Initializing widgets/w_poll_6
22-02-23 21:15:16 INFO  b.e.a.loading.AESceneLoader:96  - Initializing widgets/w_poll_7
22-02-23 21:15:16 INFO  b.e.a.loading.StageBuilder:56  - Building Stage INVENTORY
22-02-23 21:15:16 INFO  b.e.a.loading.AESceneLoader:96  - Initializing s_inventory
22-02-23 21:15:16 INFO  b.e.a.loading.StageBuilder:56  - Building Stage DICE
22-02-23 21:15:16 INFO  b.e.a.loading.AESceneLoader:96  - Initializing s_dice
22-02-23 21:15:16 INFO  b.e.a.loading.AESceneLoader:96  - Initializing widgets/w_diceResult_0
22-02-23 21:15:17 INFO  b.e.a.loading.StageBuilder:56  - Building Stage BATTLE
22-02-23 21:15:17 INFO  b.e.a.loading.AESceneLoader:96  - Initializing s_battle
22-02-23 21:15:17 INFO  b.e.a.loading.AESceneLoader:96  - Initializing widgets/w_enemy_0
22-02-23 21:15:17 INFO  b.e.a.loading.StageBuilder:56  - Building Stage CONVERSION
22-02-23 21:15:17 INFO  b.e.a.loading.AESceneLoader:96  - Initializing s_conv
22-02-23 21:15:17 INFO  b.e.a.loading.StageBuilder:56  - Building Stage QUESTIONS
22-02-23 21:15:17 INFO  b.e.a.loading.AESceneLoader:96  - Initializing s_questions
22-02-23 21:15:17 INFO  be.effectlife.arvbotplus.Main:123 - Prepared 6 stages
22-02-23 21:15:17 INFO  b.e.a.loading.AESceneLoader:96  - Initializing widgets/w_skill_0
22-02-23 21:15:17 INFO  b.e.a.loading.AESceneLoader:96  - Initializing widgets/w_skill_1
22-02-23 21:15:17 INFO  b.e.a.loading.AESceneLoader:96  - Initializing widgets/w_skill_2
22-02-23 21:15:29 INFO  b.e.a.loading.AESceneLoader:96  - Initializing widgets/w_skill_3
22-02-23 21:18:31 INFO  be.effectlife.arvbotplus.Main:142 - -------------------
22-02-23 21:18:31 INFO  be.effectlife.arvbotplus.Main:143 - Starting ArvBotPlus
22-02-23 21:18:31 INFO  b.e.a.loading.StageBuilder:56  - Building Stage POLL
22-02-23 21:18:31 INFO  b.e.a.loading.AESceneLoader:96  - Initializing s_poll
22-02-23 21:18:31 INFO  b.e.a.loading.AESceneLoader:96  - Initializing widgets/w_quickPoll
22-02-23 21:18:31 INFO  b.e.a.loading.AESceneLoader:96  - Initializing widgets/w_poll_0
22-02-23 21:18:31 INFO  b.e.a.loading.AESceneLoader:96  - Initializing widgets/w_poll_1
22-02-23 21:18:31 INFO  b.e.a.loading.AESceneLoader:96  - Initializing widgets/w_poll_2
22-02-23 21:18:31 INFO  b.e.a.loading.AESceneLoader:96  - Initializing widgets/w_poll_3
22-02-23 21:18:31 INFO  b.e.a.loading.AESceneLoader:96  - Initializing widgets/w_poll_4
22-02-23 21:18:31 INFO  b.e.a.loading.AESceneLoader:96  - Initializing widgets/w_poll_5
22-02-23 21:18:31 INFO  b.e.a.loading.AESceneLoader:96  - Initializing widgets/w_poll_6
22-02-23 21:18:31 INFO  b.e.a.loading.AESceneLoader:96  - Initializing widgets/w_poll_7
22-02-23 21:18:31 INFO  b.e.a.loading.StageBuilder:56  - Building Stage INVENTORY
22-02-23 21:18:31 INFO  b.e.a.loading.AESceneLoader:96  - Initializing s_inventory
22-02-23 21:18:31 INFO  b.e.a.loading.StageBuilder:56  - Building Stage DICE
22-02-23 21:18:31 INFO  b.e.a.loading.AESceneLoader:96  - Initializing s_dice
22-02-23 21:18:31 INFO  b.e.a.loading.AESceneLoader:96  - Initializing widgets/w_diceResult_0
22-02-23 21:18:31 INFO  b.e.a.loading.StageBuilder:56  - Building Stage BATTLE
22-02-23 21:18:31 INFO  b.e.a.loading.AESceneLoader:96  - Initializing s_battle
22-02-23 21:18:31 INFO  b.e.a.loading.AESceneLoader:96  - Initializing widgets/w_enemy_0
22-02-23 21:18:31 INFO  b.e.a.loading.StageBuilder:56  - Building Stage CONVERSION
22-02-23 21:18:31 INFO  b.e.a.loading.AESceneLoader:96  - Initializing s_conv
